From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P62979	P62979	reviewed	RS27A_HUMAN	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
P62993	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
P62995	P62995	reviewed	TRA2B_HUMAN	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
P63000	P63000	reviewed	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5	Homo sapiens (Human)	192
P63010	P63010	reviewed	AP2B1_HUMAN	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	937
P63020	P63020	reviewed	NFUA_ECOLI	Fe/S biogenesis protein NfuA	nfuA gntY yhgI b3414 JW3377	Escherichia coli (strain K12)	191
P63027	P63027	reviewed	VAMP2_HUMAN	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)	VAMP2 SYB2	Homo sapiens (Human)	116
P63096	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1 (EC 3.6.5.-) (Adenylate cyclase-inhibiting G alpha protein)	GNAI1	Homo sapiens (Human)	354
P63098	P63098	reviewed	CANB1_HUMAN	Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1)	PPP3R1 CNA2 CNB	Homo sapiens (Human)	170
P63104	P63104	reviewed	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
P63145	P63145	reviewed	GAK24_HUMAN	Endogenous retrovirus group K member 24 Gag polyprotein (HERV-K101 Gag protein) (HERV-K_22q11.21 provirus ancestral Gag polyprotein) (Gag polyprotein)	ERVK-24	Homo sapiens (Human)	666
P63146	P63146	reviewed	UBE2B_HUMAN	Ubiquitin-conjugating enzyme E2 B (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme B) (RAD6 homolog B) (HR6B) (hHR6B) (Ubiquitin carrier protein B) (Ubiquitin-conjugating enzyme E2-17 kDa) (Ubiquitin-protein ligase B)	UBE2B RAD6B UBCH1	Homo sapiens (Human)	152
P63151	P63151	reviewed	2ABA_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (B55) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	Homo sapiens (Human)	447
P63165	P63165	reviewed	SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
P63167	P63167	reviewed	DYL1_HUMAN	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1	Homo sapiens (Human)	89
P63172	P63172	reviewed	DYLT1_HUMAN	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)	DYNLT1 TCTEL1 TCTEX-1 TCTEX1	Homo sapiens (Human)	113
P63173	P63173	reviewed	RL38_HUMAN	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	RPL38	Homo sapiens (Human)	70
P63177	P63177	reviewed	RLMB_ECOLI	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	rlmB yjfH b4180 JW4138	Escherichia coli (strain K12)	243
P63208	P63208	reviewed	SKP1_HUMAN	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
P63218	P63218	reviewed	GBG5_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	GNG5 GNGT5	Homo sapiens (Human)	68
P63220	P63220	reviewed	RS21_HUMAN	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21	Homo sapiens (Human)	83
P63224	P63224	reviewed	GMHA_ECOLI	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA tfrA yafI b0222 JW0212	Escherichia coli (strain K12)	192
P63228	P63228	reviewed	GMHBB_ECOLI	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB yaeD b0200 JW0196	Escherichia coli (strain K12)	191
P63241	P63241	reviewed	IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D)	EIF5A	Homo sapiens (Human)	154
P63244	P63244	reviewed	RACK1_HUMAN	Small ribosomal subunit protein RACK1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Receptor of activated protein C kinase 1) [Cleaved into: Small ribosomal subunit protein RACK1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed) (Receptor of activated protein C kinase 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	317
P63261	P63261	reviewed	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Homo sapiens (Human)	375
P63272	P63272	reviewed	SPT4H_HUMAN	Transcription elongation factor SPT4 (hSPT4) (DRB sensitivity-inducing factor 14 kDa subunit) (DSIF p14) (DRB sensitivity-inducing factor small subunit) (DSIF small subunit)	SUPT4H1 SPT4H SUPT4H	Homo sapiens (Human)	117
P63279	P63279	reviewed	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158
P63284	P63284	reviewed	CLPB_ECOLI	Chaperone protein ClpB (ClpB disaggregase) (Heat shock protein F84.1)	clpB htpM b2592 JW2573	Escherichia coli (strain K12)	857
P63313	P63313	reviewed	TYB10_HUMAN	Thymosin beta-10	TMSB10 PTMB10 THYB10	Homo sapiens (Human)	44
P63389	P63389	reviewed	YHES_ECOLI	Probable ATP-binding protein YheS	yheS b3352 JW3315	Escherichia coli (strain K12)	637
P63417	P63417	reviewed	YHBS_ECOLI	Uncharacterized N-acetyltransferase YhbS (EC 2.3.1.-)	yhbS b3156 JW3125	Escherichia coli (strain K12)	167
P63883	P63883	reviewed	AMIC_ECOLI	N-acetylmuramoyl-L-alanine amidase AmiC (EC 3.5.1.28)	amiC ygdN b2817 JW5449	Escherichia coli (strain K12)	417
P64429	P64429	reviewed	YPFJ_ECOLI	Uncharacterized protein YpfJ	ypfJ b2475 JW2460	Escherichia coli (strain K12)	287
P64451	P64451	reviewed	YDCL_ECOLI	Uncharacterized lipoprotein YdcL	ydcL b1431 JW1427	Escherichia coli (strain K12)	222
P64455	P64455	reviewed	YDCY_ECOLI	Uncharacterized protein YdcY	ydcY b1446 JW1441	Escherichia coli (strain K12)	77
P64461	P64461	reviewed	LSRG_ECOLI	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase (EC 5.3.1.32) (Autoinducer 2-degrading protein LsrG) (AI-2-degrading protein LsrG) (Phospho-(S)-4,5-dihydroxy-2,3-pentanedione isomerase) (Phospho-AI-2 isomerase)	lsrG yneC b1518 JW1511	Escherichia coli (strain K12)	96
P64463	P64463	reviewed	YDFZ_ECOLI	Putative selenoprotein YdfZ	ydfZ b1541 JW1534	Escherichia coli (strain K12)	67
P64479	P64479	reviewed	YDIZ_ECOLI	Uncharacterized protein YdiZ	ydiZ b1724 JW1713	Escherichia coli (strain K12)	96
P64490	P64490	reviewed	YOAC_ECOLI	Uncharacterized protein YoaC	yoaC b1810 JW5296	Escherichia coli (strain K12)	99
P64503	P64503	reviewed	YEBV_ECOLI	Uncharacterized protein YebV	yebV b1836 JW5302	Escherichia coli (strain K12)	78
P64506	P64506	reviewed	YEBY_ECOLI	Uncharacterized protein YebY	yebY b1839 JW1828	Escherichia coli (strain K12)	113
P64519	P64519	reviewed	YODD_ECOLI	Uncharacterized protein YodD	yodD b1953 JW5317	Escherichia coli (strain K12)	75
P64534	P64534	reviewed	RCNB_ECOLI	Nickel/cobalt homeostasis protein RcnB	rcnB yohN b2107 JW5346	Escherichia coli (strain K12)	112
P64540	P64540	reviewed	YFCL_ECOLI	Uncharacterized protein YfcL	yfcL b2325 JW2322	Escherichia coli (strain K12)	92
P64581	P64581	reviewed	YQJD_ECOLI	Uncharacterized protein YqjD	yqjD b3098 JW3069	Escherichia coli (strain K12)	101
P64588	P64588	reviewed	YQJI_ECOLI	Transcriptional regulator YqjI	yqjI b3071 JW3042	Escherichia coli (strain K12)	207
P64596	P64596	reviewed	DOLP_ECOLI	Outer membrane lipoprotein DolP	dolP yraP b3150 JW3119	Escherichia coli (strain K12)	191
P64616	P64616	reviewed	YHCO_ECOLI	Uncharacterized protein YhcO	yhcO b3239 JW3208	Escherichia coli (strain K12)	90
P64624	P64624	reviewed	YHEO_ECOLI	Uncharacterized protein YheO	yheO b3346 JW5703	Escherichia coli (strain K12)	240
P64636	P64636	reviewed	YRFG_ECOLI	GMP/IMP nucleotidase YrfG (EC 3.1.3.5)	yrfG b3399 JW5865	Escherichia coli (strain K12)	222
P65367	P65367	reviewed	YQCA_ECOLI	Flavodoxin YqcA	yqcA b2790 JW2761	Escherichia coli (strain K12)	149
P65556	P65556	reviewed	YFCD_ECOLI	Uncharacterized Nudix hydrolase YfcD (EC 3.6.-.-)	yfcD b2299 JW2296	Escherichia coli (strain K12)	180
P66817	P66817	reviewed	DIAA_ECOLI	DnaA initiator-associating protein DiaA	diaA yraO b3149 JW3118	Escherichia coli (strain K12)	196
P66948	P66948	reviewed	BEPA_ECOLI	Beta-barrel assembly-enhancing protease (EC 3.4.-.-)	bepA yfgC b2494 JW2479	Escherichia coli (strain K12)	487
P67080	P67080	reviewed	PLPHP_ECOLI	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	yggS b2951 JW2918	Escherichia coli (strain K12)	234
P67087	P67087	reviewed	RSMI_ECOLI	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI yraL b3146 JW3115	Escherichia coli (strain K12)	286
P67095	P67095	reviewed	YFCE_ECOLI	Phosphodiesterase YfcE (EC 3.1.4.-)	yfcE b2300 JW5377	Escherichia coli (strain K12)	184
P67603	P67603	reviewed	AC4CH_ECOLI	N(4)-acetylcytidine amidohydrolase (ac4C amidohydrolase) (EC 3.5.1.135)	yqfB b2900 JW2868	Escherichia coli (strain K12)	103
P67624	P67624	reviewed	YHEU_ECOLI	UPF0270 protein YheU	yheU b3354 JW3317	Escherichia coli (strain K12)	72
P67660	P67660	reviewed	YHAJ_ECOLI	Probable HTH-type transcriptional regulator YhaJ	yhaJ b3105 JW3076	Escherichia coli (strain K12)	298
P67775	P67775	reviewed	PP2AA_HUMAN	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	PPP2CA	Homo sapiens (Human)	309
P67809	P67809	reviewed	YBOX1_HUMAN	Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
P67812	P67812	reviewed	SC11A_HUMAN	Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18)	SEC11A SEC11L1 SPC18 SPCS4A	Homo sapiens (Human)	179
P67826	P67826	reviewed	CUTC_ECOLI	PF03932 family protein CutC (Putative copper homeostasis protein CutC)	cutC b1874 JW1863	Escherichia coli (strain K12)	248
P67870	P67870	reviewed	CSK2B_HUMAN	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	Homo sapiens (Human)	215
P67910	P67910	reviewed	HLDD_ECOLI	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD htrM rfaD waaD b3619 JW3594	Escherichia coli (strain K12)	310
P67936	P67936	reviewed	TPM4_HUMAN	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)	TPM4	Homo sapiens (Human)	248
P68036	P68036	reviewed	UB2L3_HUMAN	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)	UBE2L3 UBCE7 UBCH7	Homo sapiens (Human)	154
P68066	P68066	reviewed	GRCA_ECOLI	Autonomous glycyl radical cofactor	grcA yfiD b2579 JW2563	Escherichia coli (strain K12)	127
P68104	P68104	reviewed	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	462
P68187	P68187	reviewed	MALK_ECOLI	Maltose/maltodextrin import ATP-binding protein MalK (EC 7.5.2.1)	malK b4035 JW3995	Escherichia coli (strain K12)	371
P68191	P68191	reviewed	SRA_ECOLI	Stationary-phase-induced ribosome-associated protein (Protein D) (SRA) (30S ribosomal protein S22)	sra rpsV b1480 JW5962	Escherichia coli (strain K12)	45
P68206	P68206	reviewed	YJBJ_ECOLI	UPF0337 protein YjbJ	yjbJ b4045 JW4005	Escherichia coli (strain K12)	69
P68363	P68363	reviewed	TBA1B_HUMAN	Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	Homo sapiens (Human)	451
P68366	P68366	reviewed	TBA4A_HUMAN	Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448
P68371	P68371	reviewed	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445
P68400	P68400	reviewed	CSK21_HUMAN	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1	Homo sapiens (Human)	391
P68402	P68402	reviewed	PA1B2_HUMAN	Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Homo sapiens (Human)	229
P68431	P68431	reviewed	H31_HUMAN	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J	Homo sapiens (Human)	136
P68543	P68543	reviewed	UBX2A_HUMAN	UBX domain-containing protein 2A (UBX domain-containing protein 4)	UBXN2A UBXD4	Homo sapiens (Human)	259
P68679	P68679	reviewed	RS21_ECOLI	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)	rpsU b3065 JW3037	Escherichia coli (strain K12)	71
P68688	P68688	reviewed	GLRX1_ECOLI	Glutaredoxin 1 (Grx1)	grxA grx b0849 JW0833	Escherichia coli (strain K12)	85
P68739	P68739	reviewed	NFI_ECOLI	Endonuclease V (EndoV) (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)	nfi yjaF b3998 JW5547	Escherichia coli (strain K12)	223
P68767	P68767	reviewed	AMPA_ECOLI	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA carP xerB b4260 JW4217	Escherichia coli (strain K12)	503
P68919	P68919	reviewed	RL25_ECOLI	Large ribosomal subunit protein bL25 (50S ribosomal protein L25)	rplY b2185 JW2173	Escherichia coli (strain K12)	94
P69222	P69222	reviewed	IF1_ECOLI	Translation initiation factor IF-1	infA b0884 JW0867	Escherichia coli (strain K12)	72
P69228	P69228	reviewed	BAER_ECOLI	Transcriptional regulatory protein BaeR	baeR b2079 JW2064	Escherichia coli (strain K12)	240
P69428	P69428	reviewed	TATA_ECOLI	Sec-independent protein translocase protein TatA	tatA mttA1 yigT b3836 JW3813	Escherichia coli (strain K12)	89
P69441	P69441	reviewed	KAD_ECOLI	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk dnaW plsA b0474 JW0463	Escherichia coli (strain K12)	214
P69451	P69451	reviewed	LCFA_ECOLI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase) (Acyl-CoA synthetase)	fadD oldD b1805 JW1794	Escherichia coli (strain K12)	561
P69503	P69503	reviewed	APT_ECOLI	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt b0469 JW0458	Escherichia coli (strain K12)	183
P69506	P69506	reviewed	YTFE_ECOLI	Iron-sulfur cluster repair protein YtfE (Regulator of cell morphogenesis and NO signaling) (RCMNS)	ytfE b4209 JW4167	Escherichia coli (strain K12)	220
P69771	P69771	reviewed	DID2_YEAST	Vacuolar protein-sorting-associated protein 46 (Charged multivesicular body protein 1) (DOA4-independent degradation protein 2) (Fifty two inhibitor 1)	DID2 CHM1 FTI1 VPS46 YKR035W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204
P69776	P69776	reviewed	LPP_ECOLI	Major outer membrane lipoprotein Lpp (Braun lipoprotein) (BLP) (Murein-lipoprotein)	lpp mlpA mulI b1677 JW1667	Escherichia coli (strain K12)	78
P69783	P69783	reviewed	PTGA_ECOLI	PTS system glucose-specific EIIA component (EIIA-Glc) (EIII-Glc) (Glucose-specific phosphotransferase enzyme IIA component)	crr gsr iex tgs treD b2417 JW2410	Escherichia coli (strain K12)	169
P69786	P69786	reviewed	PTGCB_ECOLI	PTS system glucose-specific EIICB component (EIICB-Glc) (EII-Glc) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (EC 2.7.1.199) (PTS system glucose-specific EIIB component)]	ptsG glcA umg b1101 JW1087	Escherichia coli (strain K12)	477
P69797	P69797	reviewed	PTNAB_ECOLI	PTS system mannose-specific EIIAB component (EC 2.7.1.191) (EIIAB-Man) (EIII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component); Mannose-specific phosphotransferase enzyme IIB component (PTS system mannose-specific EIIB component)]	manX gptB ptsL b1817 JW1806	Escherichia coli (strain K12)	323
P69805	P69805	reviewed	PTND_ECOLI	PTS system mannose-specific EIID component (EII-M-Man) (EIID-Man) (Mannose permease IID component)	manZ gptB ptsM b1819 JW1808	Escherichia coli (strain K12)	283
P69808	P69808	reviewed	PTFB1_ECOLI	PTS system fructose-like EIIB component 1 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 1)	fryB ypdH b2387 JW5389	Escherichia coli (strain K12)	108
P69811	P69811	reviewed	PTFAH_ECOLI	Multiphosphoryl transfer protein (MTP) (Diphosphoryl transfer protein) (DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr (Protein H); PTS system fructose-specific EIIA component (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component)]	fruB fpr fruF b2169 JW2156	Escherichia coli (strain K12)	376
P69828	P69828	reviewed	PTKA_ECOLI	PTS system galactitol-specific EIIA component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIA component)	gatA b2094 JW2078/JW2081	Escherichia coli (strain K12)	150
P69829	P69829	reviewed	PTSN_ECOLI	Nitrogen regulatory protein (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)	ptsN rpoP yhbI b3204 JW3171	Escherichia coli (strain K12)	163
P69850	P69850	reviewed	DAD3_YEAST	DASH complex subunit DAD3 (DUO1 and DAM1-interacting protein 3) (Outer kinetochore protein DAD3)	DAD3 YBR233W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94
P69852	P69852	reviewed	HSK3_YEAST	DASH complex subunit HSK3 (Helper of ASK1 protein 3) (Outer kinetochore protein HSK3)	HSK3 YKL138C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	69
P69853	P69853	reviewed	DMSD_ECOLI	Tat proofreading chaperone DmsD (DMSO reductase maturation protein) (Twin-arginine leader-binding protein DmsD)	dmsD ynfI b1591 JW5262	Escherichia coli (strain K12)	204
P69905	P69905	reviewed	HBA_HUMAN	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin]	HBA1; HBA2	Homo sapiens (Human)	142
P69908	P69908	reviewed	DCEA_ECOLI	Glutamate decarboxylase alpha (GAD-alpha) (EC 4.1.1.15)	gadA gadS b3517 JW3485	Escherichia coli (strain K12)	466
P69910	P69910	reviewed	DCEB_ECOLI	Glutamate decarboxylase beta (GAD-beta) (EC 4.1.1.15)	gadB b1493 JW1488	Escherichia coli (strain K12)	466
P69913	P69913	reviewed	CSRA_ECOLI	Carbon storage regulator (Translational dual regulator CsrA)	csrA zfiA b2696 JW2666	Escherichia coli (strain K12)	61
P69922	P69922	reviewed	FUCI_ECOLI	L-fucose isomerase (FucIase) (FucIso) (EC 5.3.1.25) (6-deoxy-L-galactose isomerase) (D-arabinose isomerase) (EC 5.3.1.3)	fucI b2802 JW2773	Escherichia coli (strain K12)	591
P69924	P69924	reviewed	RIR2_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit beta (EC 1.17.4.1) (Protein B2) (Protein R2) (Ribonucleotide reductase 1)	nrdB ftsB b2235 JW2229	Escherichia coli (strain K12)	376
P71296	P71296	reviewed	YAGM_ECOLI	Uncharacterized protein YagM	yagM b0279 JW0273	Escherichia coli (strain K12)	284
P75713	P75713	reviewed	ALLE_ECOLI	(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)	allE glxB6 ylbA b0515 JW0503	Escherichia coli (strain K12)	261
P75728	P75728	reviewed	UBIF_ECOLI	3-demethoxyubiquinol 3-hydroxylase (EC 1.14.99.60) (2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase)	ubiF yleB b0662 JW0659	Escherichia coli (strain K12)	391
P75736	P75736	reviewed	YBFF_ECOLI	Esterase YbfF (EC 3.1.-.-)	ybfF b0686 JW0673	Escherichia coli (strain K12)	254
P75745	P75745	reviewed	PXPC_ECOLI	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C)	pxpC ybgK b0712 JW0702	Escherichia coli (strain K12)	310
P75779	P75779	reviewed	YBIX_ECOLI	PKHD-type hydroxylase YbiX (EC 1.14.11.-)	ybiX b0804 JW5105	Escherichia coli (strain K12)	225
P75783	P75783	reviewed	YBIO_ECOLI	Moderate conductance mechanosensitive channel YbiO	ybiO b0808 JW5108	Escherichia coli (strain K12)	741
P75791	P75791	reviewed	YBIU_ECOLI	Uncharacterized protein YbiU	ybiU b0821 JW0805	Escherichia coli (strain K12)	421
P75792	P75792	reviewed	SUPH_ECOLI	Sugar phosphatase YbiV (EC 3.1.3.23)	ybiV supH b0822 JW0806	Escherichia coli (strain K12)	271
P75797	P75797	reviewed	GSIB_ECOLI	Glutathione-binding protein GsiB	gsiB yliB b0830 JW5111	Escherichia coli (strain K12)	512
P75823	P75823	reviewed	LTAE_ECOLI	Low specificity L-threonine aldolase (Low specificity L-TA) (EC 4.1.2.48)	ltaE ybjU b0870 JW0854	Escherichia coli (strain K12)	333
P75838	P75838	reviewed	YCAO_ECOLI	Ribosomal protein S12 methylthiotransferase accessory factor YcaO	ycaO b0905 JW0888	Escherichia coli (strain K12)	586
P75849	P75849	reviewed	GLO22_ECOLI	Hydroxyacylglutathione hydrolase GloC (EC 3.1.2.6) (Accessory type II glyoxalase) (Glyoxalase II 2) (GlxII-2)	gloC ycbL b0927 JW0910	Escherichia coli (strain K12)	215
P75863	P75863	reviewed	YCBX_ECOLI	Uncharacterized protein YcbX	ycbX b0947 JW5126	Escherichia coli (strain K12)	369
P75864	P75864	reviewed	RLMKL_ECOLI	Ribosomal RNA large subunit methyltransferase K/L [Includes: 23S rRNA m2G2445 methyltransferase (EC 2.1.1.173) (rRNA (guanine-N(2)-)-methyltransferase RlmL); 23S rRNA m7G2069 methyltransferase (EC 2.1.1.264) (rRNA (guanine-N(7)-)-methyltransferase RlmK)]	rlmL rlmK rlmKL ycbY b0948 JW0931	Escherichia coli (strain K12)	702
